_RAJ2000;_DEJ2000;Name;GLON;GLAT;z;Mbh;e_Mbh;Dist;SimbadName;NED;_RA.icrs;_DE.icrs
280.0621092;-30.7432354;ESO 458- G 002         ;004.02194;-11.28937; 0.01983; 242.470; 121.235; 81.4;ESO 458- G 002         ;NED;280.06211;-30.74324
310.3076642;-38.1934567;ESO 341-IG 004         ;004.02616;-37.18277; 0.02032; 262.590; 131.295; 83.5;ESO 341-IG 004         ;NED;310.30766;-38.19346
303.3653310;-37.1888112;ESO 399- G 025         ;004.10322;-31.59986; 0.00848;  46.172;  23.086; 34.8;ESO 399- G 025         ;NED;303.36533;-37.18881
311.3733364;-38.1753123;ESO 341- G 011         ;004.18267;-38.01138; 0.02321; 280.407; 140.203; 95.3;ESO 341- G 011         ;NED;311.37334;-38.17531
322.8126869;-38.6161323;ESO 343- G 003         ;004.32523;-46.98126; 0.01826; 140.715;  70.358; 75.0;ESO 343- G 003         ;NED;322.81269;-38.61613
311.7866762;-38.0885664;ESO 341- G 013         ;004.34196;-38.32371; 0.02309; 338.999; 169.499; 94.8;ESO 341- G 013         ;NED;311.78668;-38.08857
344.2209418;-36.5542229;IC 5264                ;004.48432;-64.03152; 0.00647;  48.633;  24.316; 26.6;IC 5264                ;NED;344.22094;-36.55422
312.1773417;-37.9974594;NGC 6958               ;004.50379;-38.61851; 0.00905; 230.295; 115.148; 37.2;NGC 6958               ;NED;312.17734;-37.99746
344.2941403;-36.4622802;IC 1459                ;004.65893;-64.10953; 0.00601; 617.672; 308.836; 24.7;IC 1459                ;NED;344.29414;-36.46228
301.1050070;-36.0177750;ESO 399- G 019         ;004.96507;-29.57178; 0.01745; 137.461;  68.730; 71.7;ESO 399- G 019         ;NED;301.10501;-36.01777
286.6985967;-32.0159093;ESO 459- G 001         ;005.13720;-16.99377; 0.02030; 130.852;  65.426; 83.4;ESO 459- G 001         ;NED;286.69860;-32.01591
334.8883393;-37.5338579;IC 5199                ;005.13963;-56.52849; 0.01702; 132.498;  66.249; 69.9;IC 5199                ;NED;334.88834;-37.53386
213.7098429;+15.1467139;NGC 5522               ;005.44175;+67.21385; 0.01525; 163.439;  81.719; 62.6;NGC 5522               ;NED;213.70984;+15.14671
288.0365996;-32.1265162;ESO 459- G 006         ;005.46481;-18.08929; 0.01916; 229.887; 114.944; 78.7;ESO 459- G 006         ;NED;288.03660;-32.12652
215.5446735;+13.9179424;NGC 5587               ;005.50251;+65.05428; 0.00768;  50.855;  25.428; 31.5;NGC 5587               ;NED;215.54467;+13.91794
323.8365214;-37.6915761;ESO 343- G 011         ;005.69384;-47.78393; 0.01785; 111.882;  55.941; 73.3;ESO 343- G 011         ;NED;323.83652;-37.69158
