_RAJ2000;_DEJ2000;FFF98;xpos;ypos;MType;n;F814W;Vzmag;F606W-F814W;(B-V)z;rc;M;_RA;_DE
209.9564339;+62.5246944; 408;  -5.3;  25.9;S0  ;3;19.33;20.21; 1.207; 0.860; 0.46;M;209.95643;+62.52469
209.9050772;+62.5245728; 409; -90.6;  25.5;E   ;3;20.19;21.07; 1.250; 0.895; 0.55;M;209.90508;+62.52457
209.9893086;+62.5260247; 410;  49.3;  30.7;S0  ;3;19.75;20.65; 1.220; 0.870; 0.59;M;209.98931;+62.52602
210.0289278;+62.5262883; 411; 115.1;  31.7;S0  ;3;20.16;21.03; 1.131; 0.797; 0.72;M;210.02893;+62.52629
209.9124806;+62.5259364; 412; -78.3;  30.4;E/S0;1;19.55;20.42; 1.186; 0.843; 1.31;M;209.91248;+62.52594
209.9613711;+62.5268611; 416;   2.9;  33.7;E   ;3;20.57;21.44; 1.183; 0.840; 0.27;M;209.96137;+62.52686
209.9482447;+62.5276939; 420; -18.9;  36.7;S0  ;3;21.32;22.14; 0.919; 0.624; 0.41;M;209.94824;+62.52769
209.9401758;+62.5278597; 421; -32.3;  37.3;E   ;4;19.87;20.75; 1.251; 0.896; 0.37;M;209.94018;+62.52786
209.9911189;+62.5296631; 433;  52.3;  43.8;S0  ;4;19.24;20.13; 1.195; 0.850; 0.69;M;209.99112;+62.52966
209.9604078;+62.5301389; 434;   1.3;  45.5;?   ;1;20.71;21.59; 1.232; 0.880; 0.20;M;209.96041;+62.53014
209.8869983;+62.5313144; 440;-120.6;  49.8;S0  ;4;20.09;20.97; 1.187; 0.843; 0.59;M;209.88700;+62.53131
209.9685981;+62.5320275; 442;  14.9;  52.3;S0  ;3;20.28;21.16; 1.196; 0.851; 0.36;M;209.96860;+62.53203
210.0524914;+62.5331358; 444; 154.2;  56.4;E   ;3;19.35;20.23; 1.250; 0.895; 1.14;M;210.05249;+62.53314
210.0589972;+62.5335481; 447; 165.0;  57.9;S0  ;2;19.88;20.77; 1.255; 0.899; 0.68;M;210.05900;+62.53355
210.0768900;+62.5350342; 453; 194.7;  63.3;S   ;2;19.81;20.60; 0.792; 0.519; 3.50;M;210.07689;+62.53503
209.9876911;+62.5347194; 454;  46.6;  62.0;S0  ;2;19.04;19.94; 1.143; 0.807; 1.50;M;209.98769;+62.53472
209.8729561;+62.5350564; 457;-143.9;  63.3;S0  ;1;20.04;20.94; 1.191; 0.847; 1.44;M;209.87296;+62.53506
209.9906450;+62.5371356; 460;  51.5;  70.7;S0  ;3;20.54;21.44; 1.187; 0.843; 0.44;M;209.99064;+62.53714
209.9644439;+62.5385833; 463;   8.0;  75.9;S0  ;3;18.97;19.86; 1.236; 0.884; 0.75;M;209.96444;+62.53858
209.9616731;+62.5388333; 465;   3.4;  76.8;S0  ;3;19.61;20.49; 1.224; 0.874; 0.65;M;209.96167;+62.53883
210.0631169;+62.5405728; 468; 171.8;  83.2;S0  ;4;19.45;20.36; 1.214; 0.866; 0.68;M;210.06312;+62.54057
210.0386606;+62.5409778; 470; 131.2;  84.6;E   ;3;18.65;19.57; 1.222; 0.872; 1.06;M;210.03866;+62.54098
209.9881797;+62.5417472; 473;  47.4;  87.3;S0  ;3;20.19;21.09; 1.163; 0.824; 0.55;M;209.98818;+62.54175
209.9329969;+62.5428031; 481; -44.2;  91.1;S0  ;2;20.38;21.27; 1.148; 0.811; 0.56;M;209.93300;+62.54280
209.9842056;+62.5438311; 482;  40.8;  94.8;E   ;3;20.41;21.32; 1.208; 0.861; 0.34;M;209.98421;+62.54383
210.0260800;+62.5452619; 492; 110.3; 100.0;S0  ;3;19.70;20.64; 1.304; 0.939; 1.26;M;210.02608;+62.54526
209.9666742;+62.5449719; 493;  11.7;  98.9;?   ;3;20.80;21.70; 1.144; 0.808; 0.27;M;209.96667;+62.54497
210.0004767;+62.5471608; 498;  67.8; 106.8;S0  ;3;20.41;21.31; 1.163; 0.824; 0.76;M;210.00048;+62.54716
209.8503806;+62.5486797; 507;-181.3; 112.4;S0  ;2;19.66;20.52; 0.987; 0.679; 3.07;M;209.85038;+62.54868
209.9930686;+62.5500794; 510;  55.5; 117.3;S0  ;2;19.63;20.55; 1.211; 0.863; 0.46;M;209.99307;+62.55008
